"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08"
"Los Angeles","CA","Los Angeles, CA","06","037",1,399000,389000,398000,397900,399000,397000,394900,399000,384900,375000,370000,359000,350000,350000,350000,350000,350000,359000,357000,350000,349900,345000,339000,330000,329900,329999,337750,340000,349000,359900,369000,369900,374900,374999,378800,379900,389000,399000,425000,449500,465000,479000,488000,485000,488000,479000,474900,468000,459900,469000,475000,490000,499881,5e+05,510000,508000,515000,499990,509000,499000,490000,499000,518308.5,537900,560000,569000,569888,569999,569900,570000,565000,564994.5,565000,579000,589000,598800,599000,6e+05,599995,599000,599000,599900,599995,599000,599500,599900,613528.5,628000,639000,639000,639000,635000,629999,630000,629900,625000,629000,639999,649000,659000,665000,675000,658000,659000
"Cook","IL","Chicago, IL","17","031",2,244900,249000,249000,249000,245000,245000,239000,237900,225000,229000,225000,214900,201990,202000,208450,210000,214900,210000,205000,199900,199000,190000,185000,179900,178000,179000,179900,184900,184900,180900,176600,175000,171000,169900,169900,165000,167000,175000,180000,190000,199900,207500,2e+05,199900,205000,199900,199000,189900,185125,199000,216000,225000,234900,238000,237000,231000,229500,224900,219900,214775,2e+05,215000,229450,233500,239900,239900,239000,235000,230000,229999,229000,224900,224900,235000,249000,255900,259900,259900,254000,249900,249900,249500,245000,237900,239000,250000,264900,269900,274900,276900,275000,269900,269900,269500,262988,254900,259000,274500,279900,289900,294000,294000,289900,286500
"Harris","TX","Houston, TX","48","201",3,149900,152866,154691.5,154900,155000,155000,151300,150000,155000,154900,155000,153190,150000,150123,153995,154000,155000,155000,154900,153900,149900,150000,149900,149900,149900,149950,151995,154500,156900,158925,157900,158990,158000,155827,159900,162000,161948,169900,174500,177839,179523,179950,179990,181982,184900,189900,187500,188551.5,189990,199900,204990,214900,219000,218000,219000,223990,225000,227990,235000,244266,255000,260000,266990,275000,265000,255000,269900,270000,274900,277990,277068,283945,285000,274000,279900,279900,278000,279886,275000,275000,272000,269900,269900,269900,269000,269990,272990,275990,278500,275000,270000,270000,275000,275000,275000,278500,279990,283000,284999,284900,284999.5,281925,279900,275000
"Maricopa","AZ","Phoenix, AZ","04","013",4,179900,176000,174900,169900,165000,159900,155000,152910,150000,149500,149000,144900,142989,140000,139999,139900,140000,142500,141990,145000,145000,149900,150000,151940,159900,164900,171000,179900,180000,184900,185000,188900,189700,195000,199900,200945,209000,216500,224900,229900,237000,239000,239900,235000,235000,236812,238850,239438.5,239990,241000,249000,249900,252958,255000,250000,250000,254000,255000,255000,257900,259500,260000,269000,275000,279000,278490,270000,279000,279500,279900,284000,284700,285000,288350,289000,290000,293000,294900,290000,289000,289500,289000,289000,289756,289900,294900,297500,299900,299999,299900,299900,297900,299000,299900,299900,299900,304847,309000,309900,312966,314000,310000,308000,305000
"San Diego","CA","San Diego, CA","06","073",5,399000,399000,399738.5,399999,4e+05,399900,399900,404000,399000,389990,385000,374900,365888,358800,355000,365000,370000,374900,369900,359000,349900,349000,349000,349000,349000,344900,349000,349900,364500,370888,375000,377700,375000,379900,379000,380000,389900,399000,419900,430000,449000,450000,460000,460000,459990,459000,450000,455000,463450,469900,479000,494900,464172.5,489000,499000,499000,495000,489900,499000,489000,489000,495000,525000,539000,550000,529000,560100,560000,565900,569000,570000,579900,575000,575000,575000,580000,588000,589000,590000,585000,585000,580000,575000,575000,579000,579900,585000,598300,599900,599000,599000,599000,598000,595000,595000,590000,594900,599000,609000,619000,650000,650000,649000,646900
"Orange","CA","Los Angeles, CA","06","059",6,550000,528500,509900,519000,519000,520000,509000,525000,498800,489500,495000,470000,461215,459000,459000,465000,469000,469000,465000,459900,450000,449000,434990,425000,429000,430000,440000,450000,470000,480000,489650,499000,495000,495112.5,499500,5e+05,5e+05,535000,559000,570100,595000,599900,599999,599900,599900,599900,599999,599900,599000,599950,614900,625000,629800,639000,638880,639900,649000,644100,649000,639900,638000,649000,659900,674900,689000,698700,689944.5,689000,690000,695000,689000,695000,689700,697250,699000,699999,710000,718000,715000,715000,715000,719999.5,719900,723990,725000,735000,749000,759000,759900,750000,755000,750000,765800,757500,759990,760000,778000,789000,789828.5,799000,799000,799000,798000,787694
"Kings","NY","New York, NY","36","047",7,479000,479000,469000,469000,465000,469000,469000,479000,469000,469000,475000,470000,469000,449000,455000,450000,454000,449000,449000,449000,449000,449000,449000,449000,449000,449000,450000,465000,476175,465000,459000,450000,449000,440000,439000,435000,430000,439000,450000,459000,469000,469500,449000,449900,465000,469000,499000,499000,512000,499000,519000,525000,529000,535000,549000,549000,549000,595000,599000,599000,649000,639000,650000,655000,699000,699000,699000,699000,725000,729000,709000,719000,766500,786275,775000,799000,795000,790000,780000,795000,799000,825000,815000,825000,812000,829000,839000,835000,833245.5,830000,828000,810000,819000,815000,808000,799000,799000,764000,750000,780000,799000,797500,790000,769000
"Miami-Dade","FL","Miami, FL","12","086",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227000,235000,248163,250000,250000,254000,258750,259000,269900,249900,249000,254000,270000,270000,274900,278000,275000,279000,279500,280000,279000,280000,289000,289000,310000,315000,311000,315000,320000,320000,299000,299000,325000,329000,335000,339900,359000,365000,369000,369000,360000,375000,375450,375000,379000,376990,379900,379000,379500,379900,380000,380000,380000,380000,385000,389000,389200,385000,389000,385000,389900,394000,390000,390000,395000,395000,399000,398000,398000,395000
"Dallas","TX","Dallas, TX","48","113",9,159900,159990,164900,169000,168000,169000,165000,159900,159999,159999,159500,149900,146900,147990,149900,149900,154900,155000,154900,150000,149900,149900,149500,147500,144900,149000,149900,150000,159900,161490,158995,157000,154900,158000,159900,159999,159900,162000,175000,180000,185000,184900,180000,179810,179900,179900,179900,179900,179500,184000,190000,197000,209000,195995,199000,212000,199900,199900,2e+05,209900,214900,225000,236375,240000,243625,239900,229000,229999.5,237500,240035,245000,245000,244900,244900,265000,275000,279900,279900,276250,275000,279900,285000,280900,281113,284900,295000,299000,314000,320000,315000,309500,3e+05,299900,3e+05,299999,299900,299500,309000,310000,317950,325000,319929,315000,299999
"Queens","NY","New York, NY","36","081",10,410000,405000,375000,375000,379000,379000,369900,379000,389000,389000,385000,380000,379000,365000,369000,359000,359000,359000,349000,346450,339000,325000,325000,325000,325000,319999,309000,319000,309000,317750,325000,318000,309888,310000,315000,310000,305000,319000,299944.5,319000,325000,328000,335000,339000,349000,349000,349000,349000,349000,345000,359000,365000,365000,369900,375000,379000,379000,379000,389000,389000,391500,399000,399999,399000,410000,425000,429000,438000,439000,449000,440000,443800,459450,475000,475000,475000,479999,488888,488894,489000,489000,489000,486300,489000,495000,499000,499999,519000,539999,549945,550000,550000,558888,565000,568000,559000,559000,539999.5,529000,545000,579000,589000,598000,589000
"Riverside","CA","Palm Desert, CA","06","065",11,229900,234000,234000,234900,234900,231837.5,229000,229675,229900,229000,229900,225000,224900,219500,220000,220000,220000,219900,215000,215000,215000,219000,219000,219500,219900,219900,219900,222000,225000,225000,227500,230000,235000,240000,250000,259000,264900,269970,279000,285000,295000,299000,3e+05,305000,315000,315000,320000,324900,325000,327000,329000,331500,335522,335000,334899,334900,330000,329900,330000,335000,335000,339000,339900,342500,349000,349885,349000,348900,349800,350000,354178,355000,358999,359000,360000,365000,366990,369000,369900,367990,365000,368300,369000,370000,375000,375000,378000,379000,379925,384900,385000,384925,386490,389000,390267.5,395000,399000,399000,399000,4e+05,409900,410000,410000,409900
"San Bernardino","CA","Palm Desert, CA","06","071",12,174500,170000,174900,179000,179900,180000,179900,179900,179000,175000,172000,168888,165000,165000,168900,169876,170000,174900,174900,174900,172950,170900,168000,165000,164900,163000,165000,169900,172500,177800,179900,185000,184900,185000,185000,185000,185000,189900,199000,201150,210000,220000,229900,235000,240000,240000,235000,235000,239600,242000,249900,250000,259000,265000,265000,265000,265000,264900,265000,262500,269000,265000,269900,270000,275000,280745,284900,285000,285000,289000,289000,289000,289000,289900,295000,297802,299900,300800,309000,305000,299999,299900,299900,299900,299900,3e+05,309900,315000,319000,319000,319500,319000,320000,320000,320000,319900,320000,325000,330000,334900,339900,343950,345000,345000
"Clark","NV","Las Vegas, NV","32","003",13,157800,159500,156900,154900,150000,149900,145000,142000,142000,139900,139000,131670,130000,130000,130000,129500,128900,127500,126990,129000,128000,126500,125900,125000,125000,126900,129900,130900,140000,145400,139788.5,135000,138000,139900,139900,145000,149000,149900,150000,155000,160000,165000,162050,175000,179900,180000,184500,180000,179999,181900,187825,189900,192777,195000,195000,202000,207495,207894,206050,208000,208500,210000,215000,219900,225000,224999,225000,227500,229900,229900,229900,229900,229900,225000,230000,235000,239900,243000,245000,248990,249900,249990,250000,250000,255232.5,259900,263616,269000,270000,275000,279999,280000,285000,285000,288888,289900,290000,294844,290900,296999,299000,299000,299990,309900
"King","WA","Seattle, WA","53","033",14,379950,377500,375000,375000,375000,375000,370000,369950,360000,359000,349992.5,345000,329000,324950,324900,319500,319950,319950,319972.5,319900,317500,3e+05,299577.5,289950,289000,299000,309900,329000,340000,349950,350000,350000,355000,350000,349950,339900,334950,349950,361990,379000,396125,399950,4e+05,399950,399950,399950,390000,380000,379000,384000,392440,399950,4e+05,425000,425000,424950,424900,411900,399950,395000,398970,4e+05,424998,440000,449950,451475,450000,450000,459000,459950,459950,459950,459900,469000,480000,499000,5e+05,514900,5e+05,499900,499999,507000,502450,499990,5e+05,525000,540000,549990,569950,575000,575000,559950,565000,590000,589950,580950,589997.5,6e+05,634900,639950,649700,649950,649000,635000
"Wayne","MI","Detroit, MI","26","163",15,64900,64901,65000,65000,62000,59900,59900,57000,57000,55900,54900,47900,44000,44840,40000,41000,45000,46000,45000,45900,44500,43000,41500,39900,39900,37500,39900,39900,40000,41800,39900,39900,39900,39999,40000,39900,39000,39900,40000,45000,49900,55000,54900,54000,50000,53000,54900,54900,50000,50000,52900,59900,65000,72500,74900,73000,69900,69900,64900,60000,62000,63900,69900,74900,74900,77000,79900,76700,75000,72900,70000,67845,65000,66150,69700,74900,79990,85200,89900,89900,85000,85000,84499.5,79900,79000,79900,85000,90000,105000,114900,110000,110000,109900,104900,94900,87500,88450,89000,103890,110000,119000,120000,124900,124990
"Tarrant","TX","Dallas, TX","48","439",16,153000,154000,155000,156000,159899,158000,156900,155000,157000,155000,155410,152000,149999,149900,150560.5,150000,154950,157000,156500,157990,158900,159900,159000,158900,157000,159000,159690,159990,162000,164900,163500,162525,159900,160000,160000,161990,163907.5,168000,169900,174000,177990,179900,178260,177500,175995,175000,175000,175590,178232.5,183900,186024,189999.5,194650,189365,190000,195000,195000,196990,199500,205000,210000,209000,219990,220990,215000,214500,212000,210000,210000,212000,215000,215000,219000,218000,224900,229550,231300,237500,236417,235000,239000,239900,239900,237717.5,239900,245000,249900,251990,257450,259000,255000,250000,250000,251400,252990,255000,255135.5,260000,266990,269900,274500,274000,269900,265000
"Santa Clara","CA","San Jose, CA","06","085",17,593000,597500,589000,599000,595000,599000,599000,599000,575000,564481,548800,525000,515000,539000,549000,558900,575000,582000,579000,569000,565000,550000,543000,514250,514000,528944,546700,560000,579000,599215,620000,610000,605000,619000,624000,619000,619990,659000,684975,699000,705000,699900,699000,689000,688000,680000,679888,679950,685000,709000,738000,748000,749985,749650,749000,739975,745000,737000,724700,700519,729000,778975,799000,835000,849925,850000,850000,848000,849000,849000,839950,832450,845000,875195,909500,925000,925000,903465,899925,899000,899000,899000,879000,863826,850000,895500,930100,940000,969000,959000,975000,988888,998000,999999,999999,1025000,1025000,1099000,1149000,1168000,1188888,1175000,1149888,1125000
"Broward","FL","Miami, FL","12","011",18,247770,249000,239500,235000,229900,225000,225000,220000,210000,199000,205000,199900,199500,198848.5,199763.5,192000,199000,2e+05,209900,215000,213375,205000,204500,199900,213400,224900,236000,220000,210000,219900,227000,224900,219000,193095,197000,189000,199991,213000,214900,220000,229000,225000,227000,228000,225000,215000,239000,221000,219900,220000,224900,219900,220000,229900,225000,223949.5,222000,221500,229000,225000,229000,229000,242500,239300,235000,244900,259900,259725,265000,262899,259900,259000,255000,250000,249999.5,269000,269900,275000,279900,280000,285000,285000,285000,280000,279000,280000,285000,289000,295000,299000,299000,296100,299000,290000,295000,289900,289000,294900,295000,299000,299900,305000,309000,3e+05
"Bexar","TX","San Antonio, TX","48","029",19,150000,153500,154900,155250,159400,160000,159900,156653,159000,160000,159900,158825,159900,159900,160000,159900,162500,164900,164860,159999,156000,157500,156900,159000,157995,159800,159900,163990,165990,168992.5,165000,165734,165000,165995,167000,167799,169876.5,175000,179000,180266,184637.5,188000,187000,189000,190000,195500,193526.5,198567,199942.5,209495,210990,214000,220000,215000,214572.5,220900,217161,214992.5,219900,225000,229500,232500,229000,239988.5,239500,245000,249990,249900,252990,247990,247995,249990,251990,240990,248000,249495,245000,249000,249500,248000,244000,249000,248500,242184,245000,249900,255000,259995,260249.5,262990,259994,259500,259900,249900,249000,249000,248750,245000,243990,247990,249900,250000,249990,248900
"New York","NY","New York, NY","36","061",20,889000,850000,852500,850000,852500,849000,845000,825000,825000,825000,844000,850000,850000,750000,870000,925000,930000,950000,975000,965000,990000,999000,1e+06,999000,995000,1035000,1007500,1050000,1095000,1095000,1050000,1004888,1050000,1085000,1100000,1119000,1100000,1100000,1198500,1200000,1200000,1250000,1240000,1290000,1275000,1325000,1395000,1395000,1450000,1425000,1425000,1445000,1506000,1500000,1595000,1575000,1635000,1700000,1730000,1795000,1830000,1850000,1850000,1895000,1950000,1925000,1925000,1982500,2100000,2125000,2200000,2260000,2450000,2359990,2195000,2250000,2125000,2100000,2089000,2100000,2095000,2100000,2100000,2100000,2099000,2142500,2100000,2100000,2055000,2050000,2e+06,1995000,1995000,1995000,1995000,1995000,1995000,1695000,1625000,1745500,1795000,1775000,1750000,1738500
"Philadelphia","PA","Philadelphia, PA","42","101",21,141700,149900,159900,157000,159900,159900,159900,150000,157000,154900,150000,149000,145000,145000,149900,149900,150000,150000,149900,149900,145000,144900,144900,139900,139900,144900,149900,149900,149900,147900,144900,139900,135000,135000,131450,129900,129900,134900,140000,149000,150000,154000,149000,140000,142900,144945,144900,139900,139900,139900,149900,159900,159900,159900,154900,149900,149900,149900,149900,145000,139900,145000,154000,159999.5,165000,164900,159900,154900,154900,155000,155000,149900,147900,149900,156900,164900,169000,169500,165000,159900,162500,167900,164200,159900,160000,165000,175000,185000,189900,189900,189900,185000,194900,199900,199900,190000,189900,195000,199900,205900,215700,223500,220000,215000
"Alameda","CA","San Francisco, CA","06","001",22,399900,410000,419000,429500,439000,439000,430000,429950,425000,419000,401000,387250,379000,370000,383400,377500,387250,385000,389900,390950,389900,377400,359000,349000,349900,359900,369000,375000,399000,419000,420000,425000,425600,445850,470000,438500,439000,460000,485000,515000,529000,539000,529000,525000,549000,539000,509888,520000,525000,549000,549999,578500,599000,599000,599000,589000,579000,580000,559000,549844,566944,599000,625000,630000,650000,660888,665000,649000,649888,651000,649900,649900,649000,650000,698888,718000,723449.5,718000,714900,699000,699950,699000,699000,699000,699999,725000,749000,750000,775000,769950,750000,750000,759000,759999.5,764900,750000,749000,765000,799000,799950,825000,835000,824990,810000
"Middlesex","MA","Boston, MA","25","017",23,359900,365000,369900,375000,379900,379000,369900,368000,364900,360000,359900,348350,339900,340000,349900,359900,369900,370000,365000,359900,360000,359900,349900,339000,340000,357995,369900,385000,385000,379000,369900,362000,369900,369900,369900,365412,365000,375000,389000,399000,399900,409900,404787.5,389900,399900,399999,399900,392000,389900,404995,419000,429900,439900,439250,429900,419900,429900,434900,434500,425000,429000,429900,449900,459945,469900,470000,459949.5,449000,450000,454999.5,450000,449900,459000,475000,489900,499900,499900,499900,499000,489900,499900,5e+05,507997.5,509900,509900,529900,549900,554950,555000,559900,549900,544925,549900,550000,549999,549900,549000,549900,569900,575000,589900,589000,575000,550000
"Suffolk","NY","New York, NY","36","103",24,389000,380000,389000,389000,399000,399000,399000,399000,399000,398000,395000,389000,379500,377500,379990,385000,385000,380000,385000,388000,385000,389000,389500,385000,379998,389000,379900,389999,389000,379990,389000,389900,390000,399000,389000,384990,379990,389000,395000,395000,399000,399000,399500,399900,411495,413050,419000,419000,425000,389500,419000,424880,429000,429990,434900,439000,440000,449990,429000,450000,439000,439000,434900,429000,439000,439999.5,439000,439900,445000,440000,439990,439994.5,449000,440000,449000,449000,449990,455000,460000,459992.5,475000,475000,479000,479900,475000,495000,489900,490000,495000,499990,499000,499000,499900,499000,499900,499999,499000,499999,499000,499990,499999,510000,515000,510000
"Sacramento","CA","Sacramento, CA","06","067",25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299000,299900,3e+05,314900,315000,314000,310000,310000,315000,317490,315000,320000,319900,325000,329900,335000,335000,335450,337375,330000,329950,329000,325000,325000,329000,339900,349900,349000,348884,349900,349900,349900,349900,349900,349888,349950,359000,359900,367752,370000,374900,375000,370000
"Bronx","NY","New York, NY","36","005",26,347000,330000,329950,329000,329000,325000,324990,329000,325000,319000,319000,309000,3e+05,299000,319000,319000,319000,315000,319000,319000,309000,309000,299000,299000,299000,299900,299000,295007,3e+05,299000,299000,299000,295000,281300,299000,285150,295000,299000,299000,284000,299000,299000,299000,310000,315000,325000,319450,317250,349000,369000,369000,359000,3e+05,309000,329000,335000,349000,329000,329000,350000,329999.5,350000,359000,339000,350000,379000,379000,375000,359000,344500,325000,329000,329000,329000,330000,325000,349000,349000,349000,369000,375000,360000,350000,369000,379000,369000,329797.5,320000,320000,325000,325000,335000,329000,337500,338500,338000,318000,304750,325000,324500,350000,371750,380000,380000
"Nassau","NY","New York, NY","36","059",27,484999,489000,479990,479999,489000,479638.5,479000,479000,479000,479000,470000,469000,459000,449000,458000,459000,459000,457000,449000,445000,439777,439000,429900,429000,428999,429000,429000,439000,439000,439000,439000,435000,429900,429000,424990,419000,419000,429000,429000,445000,449000,449000,449000,448000,449000,439999,449000,448000,440000,449000,449000,459900,473250,479000,475000,469000,469000,469000,465000,469000,475000,470000,475000,479000,489000,499000,499994.5,499000,499000,499000,499000,499000,499000,499000,514745,529000,535000,539000,549000,549000,543000,549000,549000,549000,539000,544999,549000,550000,579000,579000,575000,574888,574945,569000,574000,569888,559999,575000,579000,598888,599999,619000,619000,599999
"Palm Beach","FL","Miami, FL","12","099",28,250000,250000,250000,249500,247000,239900,235000,235000,225900,224900,229000,219900,218999,210000,214986,210000,215000,209900,204800,209900,210250,210000,203850,208000,209900,199000,199900,199900,199900,199900,2e+05,2e+05,199900,199900,210000,217500,225000,239000,245000,249900,249900,249900,239894,254000,264000,267900,269900,270000,275000,275000,275000,275250,275000,284000,279000,279000,279000,275000,280000,289650,284900,288500,295000,285140,285000,289000,293950,294900,297500,299000,299900,299900,3e+05,309000,310000,319000,319900,322250,319995,319900,325000,329000,326900,325000,325000,329000,330000,339000,340000,339900,345000,340000,349000,340000,345900,344999,345000,348900,345000,349000,349000,349700,346000,344500
"Cuyahoga","OH","Cleveland, OH","39","035",29,113000,116900,119000,121900,120000,119900,119900,119500,119000,115900,115000,110000,109900,109900,109900,109900,112900,114000,114500,112900,110000,109900,109900,105000,104900,105000,109000,109900,111000,110000,109900,110000,109400,105000,108250,101950,99900,99975,105000,109900,114900,114900,113900,109900,109900,107900,105000,1e+05,1e+05,104900,109900,114900,117500,119900,119000,118000,114900,111000,109996.5,107000,108000,109900,115000,119500,119900,119900,119500,117500,115000,114900,112990,109900,109900,114000,119900,124500,125100,129000,128500,125000,124900,124000,119900,117000,116900,119900,126500,129900,137500,139000,139900,139000,137727.5,135000,132000,129880,129900,132000,139000,144900,149900,149900,149900,149500
"Hillsborough","FL","Tampa, FL","12","057",30,174900,169900,169900,169500,167867,165000,159900,159000,159900,155000,155000,149900,149500,149000,149990,149990,155000,158110,159000,159000,157000,160000,159900,155000,157990,159000,161000,163990,165990,169900,173990,175000,179000,179900,179990,180000,181990,189900,194900,199000,199900,2e+05,205990,199900,199970,199000,195000,189900,190490,195450,199900,199999.5,199900,184900,208990,209000,209000,209000,213500,209900,217000,219000,219900,217990,219900,219940,220000,230000,234990,238990,239990,239900,239990,236490,239900,242390,239900,239900,239788.5,232943,230990,234900,234000,230000,238900,243000,246945,249900,254900,253325,250130,250000,257590,252457.5,253970,254900,254000,255000,259900,264500,269900,269900,269000,263000
"Allegheny","PA","Pittsburgh, PA","42","003",31,129900,139000,139900,139900,144900,144900,142900,139900,139900,137500,135950,134900,134900,135900,136900,135250,138250,139000,136554.5,134900,135500,134900,134900,134000,129900,134900,134900,137500,139900,139900,134900,135000,134900,132900,134900,132900,134900,139500,141500,147000,149900,149800,149864,145000,145000,139900,139900,139900,139900,142500,145000,153000,159000,159900,155000,150000,149900,156700,149900,149900,149900,150000,155000,160000,165000,169900,165000,159900,159900,156950,154900,149900,149900,149000,154900,160000,165000,169000,165000,164800,162950,159900,159900,155000,154900,159900,165000,174900,179900,179900,179900,178250,177900,175000,179000,174500,178000,179900,185000,189900,194900,195000,189900,189000
"Oakland","MI","Detroit, MI","26","125",32,164500,162500,160000,159900,159900,159000,154900,150000,149999,149900,149900,140000,139250,135000,135900,134900,139900,142900,144900,145000,144000,140000,139900,137000,139900,139900,148500,149900,150000,159900,162000,164900,164500,163900,169800,162500,168900,175000,180000,190000,199900,209000,219900,215000,215000,210000,209900,204900,209900,214900,219900,234900,244900,249900,249000,249000,245000,240000,239900,239888,239000,248000,249900,251272.5,255000,259900,254000,250000,250000,250000,254900,255000,250000,259900,267900,279000,284500,286450,285000,281900,280000,284900,289000,289500,284994.5,295000,295000,306224.5,310000,309900,309900,299999,299900,299900,299000,299900,299900,3e+05,309900,319900,319000,318000,310950,305890
"Franklin","OH","Columbus, OH","39","049",33,139900,139900,139900,139900,139900,139660,135700,136900,136265,138500,134182,129900,124999,127900,129000,129900,134000,135000,135000,134449.5,129900,133000,129900,122805,120550,122900,124900,129900,132900,132000,129900,128500,126990,125000,120000,119900,117900,119900,124900,128500,132500,134400,134900,134450,132450,132900,133900,129900,128900,129900,136000,139900,148000,152900,153990,149900,149900,149400,145580,144000,143900,146550,150000,156900,169900,169900,169900,169900,169900,165150,166990,159994.5,160000,165000,169000,179500,182000,184900,184900,179900,180000,179900,179800,174900,173500,179000,190000,199900,203000,205000,204900,200495,199900,211900,199900,199900,205945,207900,208900,216995,224900,224900,224000,219900
"Hennepin","MN","Minneapolis, MN","27","053",34,238625.5,234900,229900,225000,229000,229000,219900,217900,209900,204000,199900,189900,179900,183000,184900,189900,195000,199900,199900,199900,199900,199900,190000,188000,179900,185000,189900,199750,199950,209900,205000,204900,2e+05,2e+05,215000,209999,209900,219900,225000,234900,240000,249900,249900,249900,249900,249900,242000,238816,234900,239992.5,250000,259900,269900,265500,269900,269900,269900,264900,264900,265000,269900,279900,289000,288640,289999,294000,299900,297900,289900,295000,299000,299500,3e+05,308900,309000,304900,3e+05,299900,299900,299000,305000,312900,319000,324900,330000,349899,339900,339900,339900,335000,335000,329900,328700,329900,335000,350000,360000,384900,369900,360000,354000,350000,349900,349900
"Orange","FL","Orlando, FL","12","095",35,170750,169900,166950,165000,164900,157900,152000,155000,159000,154900,154900,149900,149900,144900,149900,149900,150000,154900,154200,153900,150000,150000,149000,144900,145000,145000,149900,152900,158000,162300,165495,166443.5,175000,179000,179000,188000,190000,199000,2e+05,215000,219798,224900,225000,221500,227900,233990,229000,225000,229000,235000,240000,235300,225000,219500,239000,240000,239900,239844,240000,239195,240000,239900,239000,237000,240000,247450,249000,265000,267990,265799.5,268500,269900,275000,269000,275000,281990,269900,269900,274990,269900,275990,273990,270000,275000,289900,293440,298673,3e+05,309000,309000,309183,309900,315000,309900,310000,310000,310000,313490,318000,319900,320000,319900,319900,317000
"Fairfax","VA","Washington, DC","51","059",36,449990,449900,449997.5,465000,474900,474844,459000,449000,425000,425000,425000,417975,419900,420000,434900,450000,469000,465444,464900,459000,449970,449900,439000,429000,439000,459000,475000,499000,499900,499900,499000,495000,499000,498900,499900,499000,5e+05,5e+05,525000,530000,545000,539000,525000,512000,505950,495000,495000,484975,499000,499000,515000,525000,535000,535000,529000,525000,524900,519375,515000,510000,509900,515000,525000,539900,539000,533500,499000,524990,524900,519000,514900,510000,524900,530000,549900,564950,565000,550000,549000,542250,540000,549900,552900,550000,550000,574881.5,589900,587500,589900,585000,579900,574900,569900,575000,579900,580000,589000,599225,605000,614900,610000,599900,589900,575000
"Contra Costa","CA","San Francisco, CA","06","013",37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,489000,475000,465000,450000,445990,439950,461990,495000,5e+05,525000,525000,525000,499900,499000,499000,479000,459387.5,462900,484945,519000,547900,575000,570000,558888,545000,532000,529000,524900,501000,510000,539950,570000,589999,595000,599000,579000,560000,570000,572495,555000,549900,549000,569000,599000,6e+05,625000,608000,599900,589900,585000,580000,574900,550000,555000,590000,618000,629250,639950,639000,625000,609000
"Salt Lake","UT","Salt Lake City, UT","49","035",38,244900,239900,238900,239000,239000,234900,229900,225000,221900,219900,219900,210000,205000,208024,208450,199900,200450,199900,202500,204949.5,205000,205000,204000,2e+05,199900,206900,209900,208100,215000,219000,219000,229900,229900,234900,235000,234900,228000,225000,229900,239900,248000,255000,262500,260000,259900,259900,264900,262000,259000,257990,259900,269000,274870,275000,275000,275000,275000,275000,274900,275000,279900,283000,289100,299900,307000,311990,314999,319000,315000,315000,312900,309925,312900,310000,324850,324900,335000,339900,339800,335000,329000,329000,329900,329900,329900,335000,342150,350000,350000,350000,349900,350000,350000,350000,349999,350000,359900,356284,365000,374000,374900,375000,379900,374974.5
"Travis","TX","Austin, TX","48","453",39,236333.5,235000,235000,239900,249900,249900,246900,245435,240000,239900,239990,235000,229900,229900,238970,247900,249500,239900,239000,234900,229000,225000,225000,225000,224900,229990,249000,250000,255000,259900,259000,249900,249000,249500,252700,259600,261124,272990,275823,287250,299000,297573,297500,294900,295000,300990,310000,309000,319900,329500,339850,350000,350000,362211,349900,349900,349900,349900,349000,356140,350000,357500,365000,375000,376394.5,380000,369359,374990,369359,375000,370000,379900,379000,380000,384500,385000,384900,395000,391754,384900,385000,389000,389000,379900,375000,384900,390000,399000,399900,398000,395000,389900,385823,384002.5,375000,372900,365000,369000,379000,379990,384990,385000,384750,375000
