"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08"
"Uvalde","TX","Uvalde, TX","48","463",1484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249900,259450,275000,239000,225000,219900,205000,199700,199500,199450,199000,205000,2e+05,202500,206500,202500,210000,199700,199900,203450,199900,212000,199000,212250,215000,215000,215000,196750,189400,196750,195000,199500,199900,214450,199500,205000,209000,207500,214000,225000,229000,220000
"San Jacinto","TX",,"48","407",1485,149900,143000,149900,158500,162450,159900,160000,159900,165000,160000,149900,149900,158500,150000,149900,159900,159900,156000,154998,152450,147450,139950,129900,129900,139900,139900,139000,133500,136000,138000,130000,131450,129000,129450,129900,135000,139900,149000,142000,149900,156000,159900,152500,149700,139900,139900,133950,132900,129500,129000,142000,140000,149700,149900,149900,149000,139500,139900,143700,141200,139500,149000,159900,165000,162900,162000,150505.5,149499.5,159000,160000,163750,165000,165000,165000,185000,179000,184900,198900,193500,199000,199749.5,198900,194500,180000,196500,199000,199000,194999.5,198500,189900,195000,195000,215000,210000,223000,223250,219900,234900,234900,234900,224200,219900,219900,202067
"Boone","IA","Boone, IA","19","015",1486,107000,110000,116250,114900,110000,110000,110000,110000,109900,110000,109900,114000,113900,110500,112000,111000,112000,112000,111750,110750,109900,110000,118000,117900,117950,119900,114900,109900,106499.5,109900,111000,109900,113900,99950,108750,108750,99250,99900,109900,104400,109900,105000,106900,104500,101000,99900,99900,99400,102400,107500,116900,119700,119900,120000,119250,119250,118450,117000,110950,108000,105450,104900,112000,122500,132500,135000,132900,135400,139900,137950,129900,125000,122500,129750,129750,122900,135000,134400,139000,135000,139900,142900,139900,137700,134950,139900,149000,149900,157700,155250,152450,155500,158250,157500,150000,149500,149450,152750,153900,161400,155450,159450,159000,151000
"Nicholas","WV",,"54","067",1487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126950,129900,124900,127950,124950,124950,129900,129900,119950,112500,119000,122500,116450,104750,118750,120000,132400,129000,126950,118949.5,125000,121949.5,129000,142000,146000,150000,141250,129000,135000,149900,135000,134950,139900,124450,120000,128900,117499.5,129900,134900,129950,138900,128000,124900,128950,129000,129900,129900,132500,137000,139450,139000,139900,139500,129900,129000,129900,129000,129900,139500,141200,145400,143200,149000,149950,149375,144950,143650
"Winchester City","VA","Winchester, VA","51","840",1488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239000,239000,235900,239000,235000,222425,237000,239900,229000,229450,229900,242850,249900,259900,259500,244900,249250,249900,249900,249450,249900,249900,253000,249900,279900,316950,316950,320000,312000,3e+05,292950,297900,303750,299900,279450,274450,297250,297450,262400,280450,278400,269500,249900,247000,239900,249900,274900,295000,295000,286450,288750,272450,297000
"Stephens","GA","Toccoa, GA","13","257",1489,149900,155450,149900,149900,169000,175000,176500,184000,179900,175000,179900,162000,163450,149900,149900,149900,149900,149999.5,150000,146705,129900,139000,139000,129900,119900,123700,119900,128925,123925,139000,137000,142000,139250,146450,144900,137000,134950,140000,127750,139950,144950,147000,149900,142150,144900,144900,145000,143000,149900,141500,149000,159900,161250,159000,159000,152449.5,149900,149999,149900,155000,149900,150000,150000,152500,149450,140000,160000,170000,164900,169900,169900,169450,177900,159900,159900,170000,169900,169450,164900,167500,169850,169000,169000,162450,159450,159900,166950,158900,164900,178499,189000,199900,219000,189450,189000,198000,189900,189900,196250,199450,199900,199000,199000,195000
"Randolph","IN",,"18","135",1490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74000,73000,74900,74900,74900,72400,67400,68700,69400,72500,74900,82900,74500,82900,74000,71450,68900,64900,60400,64900,69900,78900,69900,66200,66900,69900,69900,70000,69900,61900,59500,62300,59900,63700,63900,63900,62900,64900,62900,59950,59900,59900,60400,65000,67900,69900,71000,64900,64900,64900,64900,68700,64900,62000,64950,69900,73900,76900,77950,74900,71300,69900
"Dickinson","MI","Florence, WI","26","043",1491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124999,124900,109000,109900,124900,121950,119000,99900,99000,93450,94900,97750,99000,99000,94200,89900,89900,91200,89900,89900,89900,94900,89700,94950,99900,102950,99900,99900,99900,95000,95900,106000,119500,116250,109000,118000,129900,129900,129000
"Cheboygan","MI",,"26","031",1492,159700,154900,149950,159700,169000,169000,169900,174450,169900,169950,169900,168300,159000,156500,159999.5,159900,154550,159000,159900,159900,159900,150000,157450,149900,145900,142400,144900,144950,145000,149450,149900,139900,137000,139000,137000,129900,139450,139000,140000,149000,149900,157250,154900,150000,155000,149900,148600,143850,144900,143700,144900,148600,149000,154900,155000,151250,159000,149900,148562,139900,134900,135000,139900,145250,145000,149900,154000,157700,159700,155900,159900,159900,155000,155000,154900,159900,159900,164900,165000,159900,159000,159000,158500,149250,145500,141450,147000,149700,155900,165000,164950,164400,159900,159900,159900,159000,159900,159000,165000,155000,155000,158975,158950,154950
"Jefferson","ID","Idaho Falls, ID","16","051",1493,227500,215900,220000,209900,202500,195950,189000,180000,180000,189700,189900,189900,179850,180000,179900,185000,189800,189000,186000,175000,172450,169500,164900,159900,156200,150000,156000,165000,167900,170000,175000,174900,169900,169000,169900,169950,169000,165000,168000,176950,179900,176900,175000,179900,176450,179900,165000,164900,168000,174950,174950,179900,184900,185000,189900,195000,195000,192950,177000,173500,169900,157000,166900,179000,182950,185000,179000,179500,197450,199000,216000,199500,212000,212749.5,209950,210000,229450,238250,234900,225000,234950,246950,241200,242500,246450,238750,240750,249000,259900,259900,268900,259900,250000,250000,249900,247450,278500,257000,279000,275000,274950,266000,266000,260000
